vi,ji,e,k_R,k_Rerr,k_Q,k_Qerr,P0
0.0,0,300.0,0.0,0.0,5.673312282014597e-09,0.0,2.5783073963181686
0.0,0,600.0,0.0,0.0,5.01454698300181e-08,0.0,3.6462772878400167
0.0,0,1500.0,0.0,0.0,1.2685911920169096e-08,0.0,5.765270605057916
0.0,0,3000.0,0.0,0.0,1.296207532749446e-08,0.0,8.153323880423844
0.0,0,6000.0,0.0,0.0,2.2898071015905215e-08,0.0,11.530541210115832
0.0,0,10000.0,9.661067641629123e-15,9.659927759890549e-15,8.18870161090956e-09,1.3659588623122943e-14,14.885864693178979
0.0,0,15000.0,1.8342583091644985e-12,5.813447455823328e-13,6.415897605046616e-09,6.965399177959082e-13,18.231386439200083
0.0,0,20000.0,6.9281665848265805e-12,6.093050359337739e-13,5.664486679679564e-09,7.220348064509338e-13,21.051791736744523
0.0,0,25000.0,5.918283941486184e-12,4.265915864792834e-13,3.767551392804302e-09,4.949009337720996e-13,23.536618685764555
0.0,0,30000.0,1.988630730159163e-11,2.2089646953053015e-12,9.053240029616187e-09,2.435280606735251e-12,25.783073963181685
0.0,0,40000.0,8.804261540051509e-11,4.739445542217786e-12,1.0393324957753453e-08,4.742551297366326e-12,29.771729386357958
1.0,0,300.0,0.0,0.0,3.545820176259123e-08,0.0,2.5783073963181686
1.0,0,600.0,0.0,0.0,5.01454698300181e-08,0.0,3.6462772878400167
1.0,0,1500.0,0.0,0.0,1.2685911920169096e-08,0.0,5.765270605057916
1.0,0,3000.0,0.0,0.0,1.296207532749446e-08,0.0,8.153323880423844
1.0,0,6000.0,2.880068937228271e-13,2.1387564361166255e-13,2.5371258419569898e-08,2.9288764772411103e-13,11.530541210115832
1.0,0,10000.0,3.787817075339614e-12,9.820728399477564e-13,8.183273095786556e-09,1.2404882667179033e-12,14.885864693178979
1.0,0,15000.0,1.0215382894261207e-11,1.78295777358804e-12,6.4041657261848975e-09,2.1040034814856755e-12,18.231386439200083
1.0,0,20000.0,1.7055640282095098e-11,2.3252437241795423e-12,5.331163035108659e-09,2.727283666178741e-12,21.051791736744523
1.0,0,25000.0,5.488711000107523e-11,1.4708151173316779e-12,2.9188986266472143e-09,1.5949739539096212e-12,23.536618685764555
1.0,0,30000.0,2.2256810091878309e-10,7.624358513836721e-12,8.852530609471419e-09,7.672870641377207e-12,25.783073963181685
1.0,0,40000.0,1.924446387802754e-10,7.462338187803057e-12,5.703334203833948e-09,7.463684294279164e-12,29.771729386357958
2.0,0,300.0,1.8785203715986076e-13,1.4662615714764695e-13,3.545793563925834e-08,1.760401096106054e-13,2.5783073963181686
2.0,0,600.0,4.886759945170068e-13,3.796949235931741e-13,8.022473308288584e-09,5.606527729608234e-13,3.6462772878400167
2.0,0,1500.0,8.111704735792746e-13,4.755537739155004e-13,4.5655278558153694e-09,6.758235808404732e-13,5.765270605057916
2.0,0,3000.0,1.53733116887071e-12,7.82205347930179e-13,1.2959262146258851e-08,1.047440961463448e-12,8.153323880423844
2.0,0,6000.0,7.248219646689289e-12,1.726325473048252e-12,2.2888299057304627e-08,1.9671120597956865e-12,11.530541210115832
2.0,0,10000.0,1.3142609215677047e-11,2.2791068929807955e-12,8.169962595421381e-09,2.6879534109704607e-12,14.885864693178979
2.0,0,15000.0,2.2966769623827615e-11,3.153714982982193e-12,6.385684899353742e-09,3.720256774339136e-12,18.231386439200083
2.0,0,20000.0,1.6179656736350345e-10,6.9545380531983294e-12,6.519217746874596e-09,7.2218483195007016e-12,21.051791736744523
2.0,0,30000.0,4.1964770629808865e-10,1.1987455664991904e-11,6.5295012140149e-09,1.1995649633915962e-11,25.783073963181685
2.0,0,40000.0,2.851679014711366e-10,9.926386736575304e-12,5.593023119608311e-09,1.0068428661144415e-11,29.771729386357958
