vi,ji,e,v,k_R,k_Rerr,k_Q,k_Qerr,P0
0.0,0,300.0,0.0,0.0,0.0,3.6242672293469936e-09,2.789482307262585e-12,2.5783073963181686
0.0,0,300.0,1.0,0.0,0.0,3.920510996576493e-12,1.999713012077482e-12,2.5783073963181686
0.0,0,300.0,2.0,0.0,0.0,1.6017736733411869e-12,1.228359744236201e-12,2.5783073963181686
0.0,0,300.0,3.0,0.0,0.0,1.852272233869438e-12,1.3459900460467001e-12,2.5783073963181686
0.0,0,300.0,4.0,0.0,0.0,1.181221129261551e-12,1.1809975391930615e-12,2.5783073963181686
0.0,0,300.0,5.0,0.0,0.0,2.0124354914149327e-13,2.0120691024470339e-13,2.5783073963181686
0.0,0,300.0,6.0,0.0,0.0,0.0,0.0,2.5783073963181686
0.0,0,600.0,0.0,0.0,0.0,5.119009688451603e-09,3.866152127518313e-12,3.6462772878400167
0.0,0,600.0,1.0,0.0,0.0,7.059815948459665e-12,2.381491778669331e-12,3.6462772878400167
0.0,0,600.0,2.0,0.0,0.0,2.6810333175657904e-12,1.4757464045064246e-12,3.6462772878400167
0.0,0,600.0,3.0,0.0,0.0,2.8110126790028454e-12,1.5239054306235192e-12,3.6462772878400167
0.0,0,600.0,4.0,0.0,0.0,1.4357320382080777e-12,8.999687894407131e-13,3.6462772878400167
0.0,0,600.0,5.0,0.0,0.0,3.365813000316308e-13,3.3654594847499434e-13,3.6462772878400167
0.0,0,600.0,6.0,0.0,0.0,2.459316705188184e-13,2.4590632916825944e-13,3.6462772878400167
0.0,0,1500.0,0.0,0.0,0.0,6.1773223740336705e-09,8.133853498993943e-12,5.765270605057916
0.0,0,1500.0,1.0,0.0,0.0,2.0594877413279672e-11,5.702952501157439e-12,5.765270605057916
0.0,0,1500.0,2.0,0.0,0.0,9.132398750155087e-12,3.799189033963756e-12,5.765270605057916
0.0,0,1500.0,3.0,0.0,0.0,4.934064258446564e-12,2.6326374684828844e-12,5.765270605057916
0.0,0,1500.0,4.0,0.0,0.0,3.5376237009799894e-12,2.423131094167338e-12,5.765270605057916
0.0,0,1500.0,5.0,0.0,0.0,8.779338153083344e-13,8.667044162362503e-13,5.765270605057916
0.0,0,1500.0,6.0,0.0,0.0,0.0,0.0,5.765270605057916
0.0,0,1500.0,7.0,0.0,0.0,4.805269666730718e-14,4.8043594915796936e-14,5.765270605057916
0.0,0,3000.0,0.0,0.0,0.0,6.396903742105234e-09,1.1220848565929364e-11,8.153323880423844
0.0,0,3000.0,1.0,0.0,0.0,3.043894944694556e-11,7.715338165718617e-12,8.153323880423844
0.0,0,3000.0,2.0,0.0,0.0,1.517896669348767e-11,4.997373049529186e-12,8.153323880423844
0.0,0,3000.0,3.0,0.0,0.0,6.689764844804595e-12,3.2407692430058992e-12,8.153323880423844
0.0,0,3000.0,4.0,0.0,0.0,3.4105306855949e-12,2.087015073535485e-12,8.153323880423844
0.0,0,3000.0,5.0,0.0,0.0,1.94534568326488e-12,1.5776309976131352e-12,8.153323880423844
0.0,0,3000.0,6.0,0.0,0.0,9.741685372832993e-13,7.689024296428528e-13,8.153323880423844
0.0,0,3000.0,7.0,0.0,0.0,1.8983809045787103e-13,1.6464058135497431e-13,8.153323880423844
0.0,0,3000.0,8.0,0.0,0.0,1.482780197981488e-13,1.4825064688310853e-13,8.153323880423844
0.0,0,6000.0,0.0,0.0,0.0,7.25025566470677e-09,2.4020969382212304e-11,11.530541210115832
0.0,0,6000.0,1.0,0.0,0.0,3.7762712739549875e-10,2.204566812897465e-11,11.530541210115832
0.0,0,6000.0,2.0,0.0,0.0,1.8762596586106534e-11,5.036580458482663e-12,11.530541210115832
0.0,0,6000.0,3.0,0.0,0.0,1.0112012254191395e-11,3.2438120939057498e-12,11.530541210115832
0.0,0,6000.0,4.0,0.0,0.0,6.820053968203749e-12,2.4929374975846583e-12,11.530541210115832
0.0,0,6000.0,5.0,0.0,0.0,2.587364260293032e-12,1.3066513628099749e-12,11.530541210115832
0.0,0,6000.0,6.0,0.0,0.0,1.419836130157849e-12,8.257742636972625e-13,11.530541210115832
0.0,0,6000.0,7.0,0.0,0.0,4.31400674233182e-13,3.621631096830991e-13,11.530541210115832
0.0,0,6000.0,8.0,0.0,0.0,1.8151368695298518e-13,1.814848121796793e-13,11.530541210115832
0.0,0,6000.0,9.0,0.0,0.0,3.6359736085322715e-14,2.570284595626139e-14,11.530541210115832
0.0,0,6000.0,10.0,0.0,0.0,0.0,0.0,11.530541210115832
0.0,0,10000.0,0.0,0.0,0.0,5.214590564124516e-09,3.384441484079499e-11,14.885864693178979
0.0,0,10000.0,1.0,9.661067641629123e-15,9.659927759890549e-15,1.3612800057960402e-09,3.347056545345023e-11,14.885864693178979
0.0,0,10000.0,2.0,0.0,0.0,3.2968602168748436e-11,5.336912210308312e-12,14.885864693178979
0.0,0,10000.0,3.0,0.0,0.0,9.953781076821168e-12,2.7674826696524867e-12,14.885864693178979
0.0,0,10000.0,4.0,0.0,0.0,5.992522532429998e-12,2.0673404923383808e-12,14.885864693178979
0.0,0,10000.0,5.0,0.0,0.0,3.1842423729039533e-12,1.3849962355597125e-12,14.885864693178979
0.0,0,10000.0,6.0,0.0,0.0,2.0737457929229013e-12,1.0115378945149241e-12,14.885864693178979
0.0,0,10000.0,7.0,0.0,0.0,1.3156997574506454e-12,6.382256980178881e-13,14.885864693178979
0.0,0,10000.0,8.0,0.0,0.0,4.2755477717971014e-13,2.349338156372382e-13,14.885864693178979
0.0,0,10000.0,9.0,0.0,0.0,4.062676674343299e-13,2.7564982031418156e-13,14.885864693178979
0.0,0,10000.0,10.0,0.0,0.0,2.522032461151084e-13,1.7991394311321774e-13,14.885864693178979
0.0,0,10000.0,11.0,0.0,0.0,3.88069216041921e-14,3.880166670417614e-14,14.885864693178979
0.0,0,10000.0,12.0,0.0,0.0,0.0,0.0,14.885864693178979
0.0,0,15000.0,0.0,1.7532712139970255e-13,1.3185519634695447e-13,3.27056693777485e-09,3.077724798351538e-11,18.231386439200083
0.0,0,15000.0,1.0,2.7068719187538823e-13,1.985484593949082e-13,1.4047704061180394e-09,2.979876365965437e-11,18.231386439200083
0.0,0,15000.0,2.0,2.949680014135255e-13,2.0633235140235733e-13,4.977043081263532e-10,1.7430298209102634e-11,18.231386439200083
0.0,0,15000.0,3.0,1.5783143129703773e-13,1.1775638036679025e-13,1.1073214763150483e-11,2.4664406094571774e-12,18.231386439200083
0.0,0,15000.0,4.0,1.4193388247094408e-13,1.281816376064896e-13,4.091694247383836e-12,1.6097690653115338e-12,18.231386439200083
0.0,0,15000.0,5.0,2.9730779586841966e-13,2.1058080941714242e-13,3.657579356029429e-12,1.3724449841433968e-12,18.231386439200083
0.0,0,15000.0,6.0,1.8614694789468633e-13,1.417517767161063e-13,1.7249298557516462e-12,8.855840807704577e-13,18.231386439200083
0.0,0,15000.0,7.0,5.797801900870516e-14,4.843817799404505e-14,1.3874279485285611e-12,7.300115182914105e-13,18.231386439200083
0.0,0,15000.0,8.0,1.0211040977479232e-13,8.205433446077044e-14,1.1667930978383827e-12,6.349668715868299e-13,18.231386439200083
0.0,0,15000.0,9.0,6.19412210592838e-14,5.975372151248383e-14,4.651527015068938e-13,3.460068939760739e-13,18.231386439200083
0.0,0,15000.0,10.0,4.513729313913024e-14,4.513164829391392e-14,2.506102597836954e-13,2.0058021755776782e-13,18.231386439200083
0.0,0,15000.0,11.0,3.1813179577904455e-14,3.1809236832819887e-14,3.1757370419654447e-13,2.2586215098062952e-13,18.231386439200083
0.0,0,15000.0,12.0,1.7913094826530244e-15,1.7911095039214324e-15,2.535608443412295e-13,2.1651432282090905e-13,18.231386439200083
0.0,0,15000.0,13.0,0.0,0.0,1.4344424317249282e-13,1.4342642072811083e-13,18.231386439200083
0.0,0,15000.0,14.0,0.0,0.0,6.41111707160319e-14,6.41031528616906e-14,18.231386439200083
0.0,0,15000.0,15.0,0.0,0.0,0.0,0.0,18.231386439200083
0.0,0,15000.0,16.0,0.0,0.0,0.0,0.0,18.231386439200083
0.0,0,15000.0,17.0,0.0,0.0,0.0,0.0,18.231386439200083
0.0,0,20000.0,0.0,1.245330242757382e-12,2.4791147952150115e-13,2.387570283051143e-09,2.0723578758567485e-11,21.051791736744523
0.0,0,20000.0,1.0,1.0542182129330518e-12,2.2967352635637217e-13,1.1934129102111387e-09,1.9566979663828456e-11,21.051791736744523
0.0,0,20000.0,2.0,8.856769384034071e-13,2.159820042581192e-13,6.073388561708151e-10,1.1314108458435482e-11,21.051791736744523
0.0,0,20000.0,3.0,7.025706488620699e-13,1.9185766631419005e-13,2.310335206745838e-10,5.6338662899366014e-12,21.051791736744523
0.0,0,20000.0,4.0,6.345090248517545e-13,1.8228704583221076e-13,6.6228100744526445e-12,8.777113166600145e-13,21.051791736744523
0.0,0,20000.0,5.0,5.189747128246249e-13,1.6284553037011538e-13,3.1912793727273893e-12,5.227074958745802e-13,21.051791736744523
0.0,0,20000.0,6.0,4.58877178015275e-13,1.4910542242725803e-13,1.9962049514425355e-12,3.889560347144698e-13,21.051791736744523
0.0,0,20000.0,7.0,3.2057841668587855e-13,1.302286906300633e-13,1.5272544784774499e-12,3.413926575354456e-13,21.051791736744523
